pval,effect_size,typeA,typeB
0.19,0.02285714285714291,c,c
0.13,0.029885057471264465,c,b
0.28,0.01505376344086029,c,c
0.12,0.030352303523035307,c,b
0.07,0.03913043478260869,c,c
0.14,0.027027027027027084,c,b
0.0,0.06520681265206818,c,c
0.0,0.07959697732997484,c,b
0.03,0.04800000000000004,c,c
0.02,0.044680851063829796,c,b
0.0,0.05500000000000005,c,c
0.01,0.058312020460358105,c,b
0.01,0.07624309392265194,c,c
0.0,0.08248587570621468,c,b
0.0,0.06721763085399457,c,c
0.0,0.0722222222222223,c,b
0.01,0.05500000000000005,c,c
0.01,0.058312020460358105,c,b
0.06,0.03923444976076562,c,c
0.07,0.03294117647058825,c,b
0.0,0.08065395095367855,c,c
0.0,0.08021978021978027,c,b
0.0,0.11250000000000004,c,c
0.0,0.09846153846153849,c,b
0.07,0.03152709359605921,c,c
0.1,0.027817745803357385,c,b
0.32,0.008864265927977844,b,c
0.32,0.007774347671847148,b,b
0.47,0.0012761900472191279,b,c
0.39,0.0066664637301756535,b,b
0.35,0.007788997110773632,b,c
0.05,0.011241554177842228,b,b
0.3,0.010936804788081567,b,c
0.1,0.017307537695787967,b,b
0.22,0.020131871561780756,b,c
0.38,0.01220688431237904,b,b
0.01,0.06729123222011268,b,c
0.01,0.05256174491957455,b,b
0.0,0.0805405665060126,b,c
0.01,0.06812352518723719,b,b
0.08,0.02367908074279268,b,c
0.08,0.026468177908417934,b,b
0.24,0.01584680956887563,b,c
0.45,0.00786924105235598,b,b
0.23,0.017090487007669353,b,c
0.13,0.028502508822034756,b,b
0.01,0.0459214866364247,b,c
0.05,0.034670717540881135,b,b
0.02,0.0375144036690247,b,c
0.07,0.03324099722991691,b,b
0.05,0.03172140878512075,b,c
0.05,0.03874932339924231,b,b
0.12,0.023918029368838134,b,c
0.04,0.03921656945101315,b,b
0.02,0.047994700710586535,b,c
0.06,0.03589129295500493,b,b
0.01,0.07407107858004602,b,c
0.0,0.08846124325795268,b,b
0.03,0.056864265927977886,b,c
0.0,0.05354511699180764,b,b
0.0,0.06386426592797789,b,c
0.01,0.06717628638833595,b,b
0.0,0.08510735985062978,b,c
0.0,0.09135014163419253,b,b
0.0,0.07608189678197241,b,c
0.01,0.08108648815020014,b,b
0.0,0.06386426592797789,b,c
0.0,0.06717628638833595,b,b
0.01,0.048098715688743465,b,c
0.02,0.041805442398566095,b,b
0.0,0.0895182168816564,b,c
0.0,0.08908404614775811,b,b
0.0,0.12136426592797789,b,c
0.0,0.10732580438951633,b,b
0.05,0.04039135952403705,b,c
0.07,0.03668201173133523,b,b
0.2,0.0010899182561306953,c,b
0.15,0.007588075880758716,c,c
0.39,0.00219780219780219,c,b
0.39,0.0010752688172042113,c,c
0.0,0.02010582010582007,c,b
0.43,0.002072538860103723,c,c
0.37,0.008443271767810123,c,b
0.3,0.011267605633802913,c,c
0.46,0.003342618384401197,c,b
0.0,0.05842696629213484,c,c
0.04,0.043697478991596705,c,b
0.0,0.07167630057803476,c,c
0.0,0.059259259259259345,c,b
0.23,0.014814814814814836,c,c
0.2,0.01760391198044009,c,b
0.37,0.006982543640897787,c,c
0.44,0.0009950248756218638,c,b
0.3,0.00822622107969151,c,c
0.13,0.019638242894056912,c,b
0.03,0.03705722070844686,c,c
0.08,0.02580645161290329,c,b
0.09,0.028650137741046855,c,c
0.12,0.02437673130193907,c,b
0.17,0.02285714285714291,c,c
0.17,0.029885057471264465,c,b
0.27,0.01505376344086029,c,c
0.06,0.030352303523035307,c,b
0.05,0.03913043478260869,c,c
0.08,0.027027027027027084,c,b
0.01,0.06520681265206818,c,c
0.0,0.07959697732997484,c,b
0.04,0.04800000000000004,c,c
0.06,0.044680851063829796,c,b
0.02,0.05500000000000005,c,c
0.02,0.058312020460358105,c,b
0.0,0.07624309392265194,c,c
0.0,0.08248587570621468,c,b
0.0,0.06721763085399457,c,c
0.0,0.0722222222222223,c,b
0.03,0.05500000000000005,c,c
0.02,0.058312020460358105,c,b
0.02,0.03923444976076562,c,c
0.11,0.03294117647058825,c,b
0.0,0.08065395095367855,c,c
0.01,0.08021978021978027,c,b
0.0,0.11250000000000004,c,c
0.0,0.09846153846153849,c,b
0.09,0.03152709359605921,c,c
0.15,0.027817745803357385,c,b
0.19,0.00649815762462802,b,c
0.51,0.0011078839416714947,b,b
0.48,1.464943892648396e-05,b,c
0.0,0.019015901849689376,b,b
0.4,0.0031624571162344184,b,c
0.31,0.009533190023940818,b,b
0.28,0.012357523889933608,b,c
0.4,0.004432536640531892,b,b
0.0,0.059516884548265536,b,c
0.03,0.0447873972477274,b,b
0.0,0.07276621883416545,b,c
0.01,0.06034917751539004,b,b
0.28,0.01590473307094553,b,c
0.09,0.018693830236570785,b,b
0.23,0.008072461897028482,b,c
0.48,9.489338050883145e-05,b,b
0.32,0.009316139335822204,b,c
0.19,0.020728161150187607,b,b
0.02,0.038147138964577554,b,c
0.12,0.026896369869033987,b,b
0.07,0.02974005599717755,b,c
0.17,0.025466649558069765,b,b
0.19,0.023947061113273604,b,c
0.09,0.03097497572739516,b,b
0.23,0.016143681696990986,b,c
0.08,0.031442221779166,b,b
0.08,0.04022035303873939,b,c
0.13,0.02811694528315778,b,b
0.0,0.06629673090819888,b,c
0.0,0.08068689558610553,b,b
0.0,0.04908991825613074,b,c
0.02,0.04577076931996049,b,b
0.01,0.056089918256130744,b,c
0.0,0.0594019387164888,b,b
0.0,0.07733301217878263,b,c
0.0,0.08357579396234538,b,b
0.0,0.06830754911012527,b,c
0.0,0.073312140478353,b,b
0.02,0.056089918256130744,b,c
0.0,0.0594019387164888,b,b
0.03,0.04032436801689632,b,c
0.06,0.03403109472671895,b,b
0.0,0.08174386920980925,b,c
0.0,0.08130969847591096,b,b
0.0,0.11358991825613074,b,c
0.0,0.09955145671766918,b,b
0.07,0.0326170118521899,b,c
0.1,0.02890766405948808,b,b
0.23,0.005390273682956526,c,b
0.36,0.006512807063554504,c,c
0.03,0.012517744225061356,c,b
0.33,0.009660614740862439,c,c
0.19,0.01603134764856884,c,b
0.22,0.01885568151456163,c,c
0.32,0.010930694265159913,c,b
0.01,0.06601504217289356,c,c
0.01,0.05128555487235542,c,b
0.04,0.07926437645879347,c,c
